Timestamp,ResultStatusCode,Authenticated,LoginUUID,SessionUUID,IPV4ClientIp,IPV6ClientIp,HttpVerb,Method,DeviceId,DeviceString,AgentId,AgentString,OsId,OsString,ApplicationUUID,ApplicationReleaseString,ApplicationVersionCode,UserDefined
2018-06-20T19:42:15.920+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:42:50.532+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:44:20.866+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:45:07.893+0000,400,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:46:09.409+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:47:56.600+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:48:09.101+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:49:58.740+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:50:12.529+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
2018-06-20T19:50:40.634+0000,401,1,6F1E557A-3D7E-4594-865E-06C8D913EE4B,D1509EF7-C174-E811-A992-F325D2AED187,,0:0:0:0:0:0:0:1,POST,createEvents,,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",,,A4C4035F-2C3F-4B9E-89D7-18110103F645,,,
